student_id,gender,attendance,study_hours,sleep_hours,internal_marks,assignments,final_result
1,Male,76,5,6,86,88,69
2,Male,89,8,7,91,70,88
3,Male,98,5,6,77,97,80
4,Male,84,8,6,97,84,83
5,Male,80,5,7,98,77,80
6,Female,77,9,8,99,71,90
7,Male,98,8,7,65,72,66
8,Female,90,7,6,85,93,83
9,Female,76,5,6,70,83,62
10,Male,95,5,7,92,93,82
11,Male,88,8,8,81,83,79
12,Male,92,7,8,69,80,76
13,Female,80,7,6,95,85,82
14,Male,80,9,6,69,73,73
15,Female,93,7,8,67,89,74
16,Male,90,7,7,87,74,84
17,Male,73,7,6,74,91,67
18,Female,77,6,6,74,90,63
19,Female,93,9,8,83,83,85
20,Male,72,5,7,81,92,70
21,Female,91,8,8,85,85,75
22,Female,90,5,7,78,87,78
23,Female,71,9,7,73,76,74
24,Female,93,8,7,65,79,66
25,Female,81,9,6,77,76,70
26,Male,99,7,8,68,70,70
27,Male,75,8,8,65,92,67
28,Female,71,7,7,96,90,73
29,Male,97,5,6,98,88,89
30,Male,90,5,6,92,85,83
31,Female,70,8,8,95,98,80
32,Male,81,8,6,72,88,74
33,Female,95,9,6,90,73,32
34,Female,91,9,7,98,98,89
35,Male,98,7,6,67,97,76
36,Female,81,8,7,76,87,81
37,Female,94,5,8,65,71,71
38,Female,86,9,6,69,70,75
39,Female,96,9,8,94,84,83
40,Female,96,5,8,94,74,80
41,Male,79,9,6,81,89,76
42,Male,97,7,6,87,80,85
43,Female,97,8,8,79,79,73
44,Female,85,5,6,85,71,76
45,Male,84,8,7,78,72,74
46,Female,99,9,7,66,92,75
47,Male,99,9,6,75,92,36
48,Female,84,5,8,98,81,79
49,Female,99,7,6,98,89,89
50,Female,88,6,6,82,74,72
51,Female,81,5,8,94,74,69
52,Female,92,6,8,79,75,67
53,Female,89,6,7,91,99,87
54,Female,94,7,8,98,78,90
55,Male,72,6,7,97,71,32
56,Male,74,6,8,88,90,73
57,Male,88,7,6,79,81,37
58,Female,76,6,7,94,72,70
59,Female,90,6,7,81,89,82
60,Female,78,6,7,69,95,67
61,Female,76,5,6,93,91,74
62,Female,87,5,6,68,81,72
63,Female,73,5,6,74,93,59
64,Female,94,7,6,81,86,81
65,Male,97,9,6,74,79,75
66,Female,83,6,7,81,99,77
67,Male,87,6,6,84,93,77
68,Male,95,7,7,88,96,84
69,Female,78,6,6,69,83,64
70,Female,95,5,8,98,92,79
71,Male,90,9,7,70,86,69
72,Male,71,8,8,66,87,62
73,Female,89,6,7,77,88,81
74,Female,97,5,8,75,86,71
75,Male,84,8,6,87,83,79
76,Female,97,9,6,80,78,76
77,Female,76,8,6,95,77,84
78,Female,81,5,7,75,71,60
79,Male,98,8,8,80,82,86
80,Male,77,7,6,72,94,65
81,Male,84,8,8,68,76,74
82,Female,72,6,8,68,78,64
83,Female,83,6,6,89,91,82
84,Male,86,7,6,67,91,65
85,Male,73,5,8,96,80,77
86,Male,87,6,6,67,83,68
87,Female,77,9,6,91,73,77
88,Male,73,6,6,93,95,80
89,Male,71,6,7,96,95,77
90,Female,99,5,8,83,98,76
91,Female,75,8,8,85,82,83
92,Female,91,6,7,69,71,69
93,Male,79,7,8,82,92,80
94,Female,73,8,6,92,74,72
95,Female,91,9,8,86,80,82
96,Male,98,5,6,85,75,70
97,Female,87,9,7,70,87,77
98,Male,95,8,6,65,90,77
99,Male,81,8,8,69,79,70
100,Female,71,8,8,76,73,67
101,Female,79,9,8,90,78,82
102,Female,99,8,7,98,75,84
103,Female,73,9,7,78,71,64
104,Female,83,8,8,90,86,84
105,Female,85,7,6,91,74,81
106,Male,84,8,7,73,94,22
107,Male,77,9,8,90,75,29
108,Female,83,6,8,86,95,73
109,Male,92,8,7,94,81,81
110,Female,97,6,7,81,92,73
111,Male,94,7,7,90,90,91
112,Male,99,5,6,65,79,71
113,Male,77,7,6,72,91,73
114,Female,90,8,8,99,90,83
115,Male,85,6,7,79,96,79
116,Female,82,6,6,86,94,82
117,Male,87,9,7,78,75,74
118,Male,84,6,8,90,96,74
119,Male,90,9,6,92,77,78
120,Male,93,5,6,87,71,71
121,Male,95,8,6,78,81,78
122,Female,94,9,8,88,82,85
123,Female,97,5,7,66,94,75
124,Male,97,6,6,90,90,90
125,Male,97,6,8,78,76,70
126,Male,82,5,7,71,79,60
127,Male,78,6,8,67,82,65
128,Female,98,5,7,87,86,85
129,Male,84,9,8,82,95,75
130,Female,82,9,7,99,90,94
131,Male,70,5,6,79,97,74
132,Female,94,9,7,89,99,94
133,Male,76,9,8,92,95,84
134,Male,78,9,8,74,83,78
135,Female,93,7,7,81,71,73
136,Male,70,8,6,86,97,72
